POSIX,source,app,x_x0,y_y0,t_t0
1504084815,73,2,0.0195473716678681,-0.0840528180735974,0
1504086556,149,2,-0.158140847655892,0.22481317559645,1
1504086737,103,2,-0.0400896594109404,-0.022263480907034,1
1504094138,124,2,-0.114220285744887,0.0335957026692097,0
1504095683,28,2,0.124287197832698,0.118179252567461,1
1504099407,11,2,0.00355512636056086,0.132370286136332,0
1504100377,110,2,0.0360245772927174,-0.0147607612022063,0
1504102191,119,2,-0.120167489193608,-0.119903496550249,2
1504106162,152,2,-7.0868761388975e-05,0.0222415019355259,0
1504107395,121,2,-0.0689084421962337,0.0152206178321821,1
1504110819,76,2,-0.0633223442350324,-0.032355851890233,0
1504111861,58,2,-0.0615090698201608,-0.174898298591992,3
1504123094,18,2,0.0124430098956148,0.166789789115419,1
1504123951,154,2,-0.0377691358993293,0.0266200522186366,0
1504126067,40,2,-0.0182653790759405,0.0476901630002309,1
1504175190,23,2,0.0138435921622033,0.0520930302500689,1
1504175957,13,2,0.0709977153715858,0.0419421666153,0
1504179354,15,2,-0.0211309621241377,0.0479352911067506,0
1504181070,41,2,-0.0673703102969327,0.0848677319417392,0
1504192821,119,2,0.0479932484837119,0.115653314917693,0
1504194392,119,2,-0.0221115677298207,-0.12086424654762,0
1504196610,66,2,-0.052287315297463,0.0522748975204491,1
1504201699,21,2,0.042482488153078,-0.0377730067622984,0
1504201933,145,2,0.137761147430737,0.0366516223827034,0
1504202507,86,2,0.0722314182367679,-0.257633504919736,0
1504203257,114,2,-0.0634401862529372,-0.141253050018075,1
1504206274,133,2,0.0759682593598784,-0.0150342716266466,0
1504207160,68,2,-0.036372568425489,-0.0712897399779163,0
1504210568,106,2,0.055899799894982,0.0417044167321085,0
1504212189,107,2,-0.054745643417107,-0.206000063369526,0
1504254596,78,2,-0.0254302192577382,0.297582191085224,0
1504260777,94,2,0.0470009952906531,-0.190602438952942,0
1504264418,87,2,-0.0566718115756602,0.0584012132635513,1
1504265075,40,2,0.141679513490497,-0.0985854737270046,0
1504268530,72,2,-0.0603222968374757,0.00204758319989418,0
1504272705,9,2,0.100973329862312,0.022368867517041,0
1504275108,28,2,0.00921784938094847,0.037540753026508,0
1504275578,91,2,0.00666094680780839,0.0278315399480724,0
1504278653,41,2,0.0126663765402431,-0.176517131811418,1
1504279167,86,2,0.055421069548448,-0.00832503062548613,0
1504286009,66,2,0.04573886997897,0.071627157247863,0
1504290444,82,2,0.158692927850993,-0.0448313408774227,0
1504292060,13,2,0.130339472821566,0.0104257492935678,0
1504293025,35,2,-0.0282262393614397,-0.087423397253428,0
1504297822,88,2,0.0233055434311181,-0.259989228152535,1
1504347483,101,2,0.114205064431824,-0.0148743824356426,0
1504362312,65,2,-0.034028286961486,0.0853302486867592,0
1504363060,81,2,0.0628571570162535,0.166273410762104,0
1504364383,9,2,0.0502756639173992,0.0657526122733765,0
1504369431,5,2,0.0525367401818088,0.0555366386283561,1
1504375053,8,2,0.0291935451066612,-0.232134154007767,0
1504376167,56,2,0.0813099874534198,-0.131489563277666,1
1504376631,117,2,-0.0413296859552111,0.0736691923659341,0
1504380471,81,2,-0.0621052934327449,0.0598399997224947,1
1504430030,57,2,-0.0921845634636251,0.0481689744823999,0
1504436706,89,2,-0.123310978890101,0.0777818132177163,0
1504440806,76,2,-0.159613528808165,0.118177148571485,0
1504441922,40,2,-0.0617291215181417,0.0933611777596005,2
1504451824,133,2,-0.0731112315075846,0.122871429891266,5
1504455396,54,2,-0.064464340340597,0.0960597840328563,0
1504458973,106,2,-0.198294752258307,0.0591783108866245,0
1504460444,141,2,-0.137248559290612,-0.00983932473565148,4
